Species,Year,SSS_mt,AveMass_g,SSB_g,EstAbun
Atlantic_Mackerel,2013,18146,425.94448066666666,18146000000,42601796.29889511
Atlantic_Mackerel,2014,15330,425.94448066666666,15330000000,35990606.04331875
Atlantic_Mackerel,2015,16774,425.94448066666666,16774000000,39380719.22835152
Atlantic_Mackerel,2016,24477,425.94448066666666,24477000000,57465235.754880175
Atlantic_Mackerel,2017,31505,425.94448066666666,31505000000,73965038.70807289
Atlantic_Mackerel,2018,30388,425.94448066666666,30388000000,71342631.20967843
Atlantic_Mackerel,2019,23505,425.94448066666666,23505000000,55183248.2092764
Atlantic_Mackerel,2020,17048,425.94448066666666,17048000000,40023995.552935295
Atlantic_Mackerel,2021,12321,425.94448066666666,12321000000,28926305.091958925
Atlantic_Mackerel,2022,19017,425.94448066666666,19017000000,44646663.73945158
Atlantic_Mackerel,2023,43721,425.94448066666666,43721000000,102644832.7997351
Black_Sea_Bass,1978,19658.869140625,399.2333166666666,19658869140.625,49241554.54951385
Black_Sea_Bass,1979,19480.259765625,399.2333166666666,19480259765.625,48794173.61324513
Black_Sea_Bass,1980,18969.08984375,399.2333166666666,18969089843.75,47513794.69561639
Black_Sea_Bass,1981,18510.05078125,399.2333166666666,18510050781.25,46363993.20526815
Black_Sea_Bass,1982,16684.580078125,399.2333166666666,16684580078.125,41791552.412083685
Black_Sea_Bass,1983,14798.490234375,399.2333166666666,14798490234.375,37067272.73648547
Black_Sea_Bass,1984,14349.2900390625,399.2333166666666,14349290039.0625,35942115.650240704
Black_Sea_Bass,1985,12956.23046875,399.2333166666666,12956230468.75,32452778.683216948
Black_Sea_Bass,1986,13076.580078125,399.2333166666666,13076580078.125,32754230.501867354
Black_Sea_Bass,1987,13289.1103515625,399.2333166666666,13289110351.5625,33286576.537543904
Black_Sea_Bass,1988,13386.4296875,399.2333166666666,13386429687.5,33530342.10488195
Black_Sea_Bass,1989,17474.5703125,399.2333166666666,17474570312.5,43770320.719726175
Black_Sea_Bass,1990,15203.169921875,399.2333166666666,15203169921.875,38080914.81144756
Black_Sea_Bass,1991,14418.8603515625,399.2333166666666,14418860351.5625,36116375.436675526
Black_Sea_Bass,1992,14862.6103515625,399.2333166666666,14862610351.5625,37227880.868399054
Black_Sea_Bass,1993,13788.1806640625,399.2333166666666,13788180664.0625,34536648.34183846
Black_Sea_Bass,1994,12177.998046875,399.2333166666666,12177998046.875,30503461.355763607
Black_Sea_Bass,1995,12862.5654296875,399.2333166666666,12862565429.6875,32218166.40224666
Black_Sea_Bass,1996,13560.505859375,399.2333166666666,13560505859.375,33966368.26955283
Black_Sea_Bass,1997,14311.1552734375,399.2333166666666,14311155273.4375,35846595.65220196
Black_Sea_Bass,1998,12816.26953125,399.2333166666666,12816269531.25,32102204.39079922
Black_Sea_Bass,1999,13197.3095703125,399.2333166666666,13197309570.3125,33056633.851356097
Black_Sea_Bass,2000,16762.3203125,399.2333166666666,16762320312.5,41986276.22677951
Black_Sea_Bass,2001,23966.580078125,399.2333166666666,23966580078.125,60031513.09672762
Black_Sea_Bass,2002,27059.58984375,399.2333166666666,27059589843.75,67778886.96684843
Black_Sea_Bass,2003,23016.8603515625,399.2333166666666,23016860351.5625,57652654.201653354
Black_Sea_Bass,2004,19944.740234375,399.2333166666666,19944740234.375,49957604.74326229
Black_Sea_Bass,2005,16221.150390625,399.2333166666666,16221150390.625,40630753.27996382
Black_Sea_Bass,2006,15738.0966796875,399.2333166666666,15738096679.6875,39420799.874845535
Black_Sea_Bass,2007,14481.1884765625,399.2333166666666,14481188476.5625,36272494.98481444
Black_Sea_Bass,2008,15341.4296875,399.2333166666666,15341429687.5,38427228.006897725
Black_Sea_Bass,2009,20143.3056640625,399.2333166666666,20143305664.0625,50454971.62472747
Black_Sea_Bass,2010,25374.9697265625,399.2333166666666,25374969726.5625,63559248.85835347
Black_Sea_Bass,2011,22632.25,399.2333166666666,22632250000,56689281.81887292
Black_Sea_Bass,2012,26211.83984375,399.2333166666666,26211839843.75,65655441.94207407
Black_Sea_Bass,2013,26131.58984375,399.2333166666666,26131589843.75,65454431.66399899
Black_Sea_Bass,2014,30299.240234375,399.2333166666666,30299240234.375,75893566.41713563
Black_Sea_Bass,2015,26373.0732421875,399.2333166666666,26373073242.1875,66059299.51534398
Black_Sea_Bass,2016,25926.89990234375,399.2333166666666,25926899902.34375,64941724.09962217
Black_Sea_Bass,2017,23733.39599609375,399.2333166666666,23733395996.09375,59447433.38119139
Black_Sea_Bass,2018,23256.9990234375,399.2333166666666,23256999023.4375,58254153.78059631
Black_Sea_Bass,2019,24091.419921875,399.2333166666666,24091419921.875,60344212.058809064
Black_Sea_Bass,2020,23988.376953125,399.2333166666666,23988376953.125,60086109.93043375
Black_Sea_Bass,2021,26291.93408203125,399.2333166666666,26291934082.03125,65856062.06804447
Black_Sea_Bass,2022,26912.93798828125,399.2333166666666,26912937988.28125,67411553.25659299
Black_Sea_Bass,2023,26021.011962890625,399.2333166666666,26021011962.890625,65177456.08044142
Haddock,1931,94772,2622.7773175438597,94772000000,36134215.19473514
Haddock,1932,93307,2622.7773175438597,93307000000,35575646.99674114
Haddock,1933,66877,2622.7773175438597,66877000000,25498542.919620793
